Exoplanet Name,Discovered Year
HD 17156 b,2007
HD 17156 b,2007
HD 17156 b,2007
HD 17156 b,2007
HD 175541 b,2007
HD 175541 b,2007
HD 175541 b,2007
HD 175541 b,2007
HD 190647 b,2007
HD 190647 b,2007
HD 190647 b,2007
HD 192699 b,2007
HD 192699 b,2007
HD 192699 b,2007
HD 192699 b,2007
HD 196885 A b,2007
HD 196885 A b,2007
HD 196885 A b,2007
HD 210702 b,2007
HD 210702 b,2007
HD 210702 b,2007
HD 219828 b,2007
HD 219828 b,2007
HD 219828 b,2007
HD 219828 b,2007
HD 219828 b,2007
HD 221287 b,2007
HD 231701 b,2007
HD 231701 b,2007
HD 231701 b,2007
HD 4113 b,2007
HD 4113 b,2007
HD 43691 b,2007
HD 43691 b,2007
HD 5319 b,2007
HD 5319 b,2007
HD 5319 b,2007
HD 5319 b,2007
HD 5319 b,2007
HD 70573 b,2007
HD 75898 b,2007
HD 75898 b,2007
HD 75898 b,2007
HD 81688 b,2007
HD 81688 b,2007
Lupus-TR-3 b,2007
OGLE-TR-182 b,2007
OGLE-TR-182 b,2007
OGLE-TR-182 b,2007
OGLE-TR-211 b,2007
OGLE-TR-211 b,2007
OGLE-TR-211 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-3 b,2007
TrES-4 b,2007
TrES-4 b,2007
TrES-4 b,2007
TrES-4 b,2007
TrES-4 b,2007
TrES-4 b,2007
TrES-4 b,2007
TrES-4 b,2007
TrES-4 b,2007
TrES-4 b,2007
TrES-4 b,2007
TrES-4 b,2007
TrES-4 b,2007
TrES-4 b,2007
V0391 Peg b,2007
WASP-1 b,2007
WASP-1 b,2007
WASP-1 b,2007
WASP-1 b,2007
WASP-1 b,2007
WASP-1 b,2007
WASP-1 b,2007
WASP-1 b,2007
WASP-1 b,2007
WASP-1 b,2007
WASP-1 b,2007
WASP-1 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-2 b,2007
WASP-3 b,2007
WASP-3 b,2007
WASP-3 b,2007
WASP-3 b,2007
WASP-3 b,2007
WASP-3 b,2007
WASP-3 b,2007
WASP-3 b,2007
WASP-3 b,2007
WASP-3 b,2007
WASP-3 b,2007
WASP-3 b,2007
WASP-4 b,2007
WASP-4 b,2007
WASP-4 b,2007
WASP-4 b,2007
WASP-4 b,2007
WASP-4 b,2007
WASP-4 b,2007
WASP-4 b,2007
WASP-4 b,2007
WASP-4 b,2007
WASP-4 b,2007
WASP-4 b,2007
WASP-4 b,2007
